rollout/ep_len_mean,rollout/ep_rew_mean,curriculum/stage_index,time/fps,time/time_elapsed,time/total_timesteps,time/episodes,curriculum/randomize_probability,rollout/success_rate,train/ent_coef,train/n_updates,train/critic_loss,train/learning_rate,train/actor_loss,eval/success_rate,eval/mean_ep_length,eval/mean_reward
4.28,202.44980614999997,0.0,29,84,2523,348,0.0,0.93,0.009999999776482582,3044,87.57416915893555,0.0003,-209.01158142089844,,,
4.44,202.80875421000002,0.0,29,85,2549,352,0.0,0.93,0.009999999776482582,3096,70.82612228393555,0.0003,-211.28927612304688,,,
4.64,200.71130309,0.0,29,87,2581,356,0.0,0.92,0.009999999776482582,3160,74.76128768920898,0.0003,-208.23519134521484,,,
4.82,200.79330154,0.0,29,88,2610,360,0.0,0.92,0.009999999776482582,3218,74.06174850463867,0.0003,-212.4341049194336,,,
4.91,201.01273677000006,0.0,29,89,2630,364,0.0,0.92,0.009999999776482582,3258,82.51964950561523,0.0003,-209.17840576171875,,,
4.78,203.39268016999998,0.0,29,90,2644,368,0.0,0.93,0.009999999776482582,3286,84.72118377685547,0.0003,-212.0802001953125,,,
4.82,203.08904868000005,0.0,29,91,2664,372,0.0,0.93,0.009999999776482582,3326,106.16225814819336,0.0003,-213.29580688476562,,,
4.85,203.06146764000002,0.0,29,91,2677,376,0.0,0.93,0.009999999776482582,3352,111.82692337036133,0.0003,-215.0396499633789,,,
4.91,203.04303883,0.0,29,92,2695,380,0.0,0.93,0.009999999776482582,3388,102.71855926513672,0.0003,-216.64583587646484,,,
4.62,207.43204901000001,0.0,28,93,2710,384,0.0,0.95,0.009999999776482582,3418,104.07492065429688,0.0003,-213.44939422607422,,,
4.53,209.80793577,0.0,28,94,2733,388,0.0,0.96,0.009999999776482582,3464,101.135986328125,0.0003,-212.30789184570312,,,
4.47,212.24078274,0.0,28,95,2753,392,0.0,0.97,0.009999999776482582,3504,78.27291870117188,0.0003,-212.51139068603516,,,
4.51,212.18795952,0.0,28,96,2765,396,0.0,0.97,0.009999999776482582,3528,117.35470581054688,0.0003,-213.51931762695312,,,
4.64,212.31527344999995,0.0,28,97,2790,400,0.0,0.97,0.009999999776482582,3578,84.99687957763672,0.0003,-216.97286987304688,,,
4.72,212.56916939,0.0,28,98,2806,404,0.0,0.97,0.009999999776482582,3610,103.15039825439453,0.0003,-209.6211395263672,,,
4.72,212.39552874,0.0,28,99,2822,408,0.0,0.97,0.009999999776482582,3642,94.89517211914062,0.0003,-215.64417266845703,,,
4.64,214.93024718,0.0,28,99,2840,412,0.0,0.98,0.009999999776482582,3678,108.74848175048828,0.0003,-216.19776916503906,,,
5.04,215.98245571000004,0.0,28,101,2892,416,0.0,0.98,0.009999999776482582,3782,77.30948257446289,0.0003,-212.9829864501953,,,
5.74,211.14841216000005,0.0,28,105,2970,420,0.0,0.95,0.009999999776482582,3938,80.56797409057617,0.0003,-213.71835327148438,,,
6.39,208.22114217,0.0,28,107,3043,424,0.0,0.93,0.009999999776482582,4084,77.7376708984375,0.0003,-215.72542572021484,,,
6.6,209.06614646000003,0.0,28,109,3072,428,0.0,0.93,0.009999999776482582,4142,83.28746795654297,0.0003,-216.72445678710938,,,
6.74,209.55601692,0.0,28,110,3094,432,0.0,0.93,0.009999999776482582,4186,98.87467956542969,0.0003,-216.46090698242188,,,
7.01,207.67269617999997,0.0,28,111,3131,436,0.0,0.92,0.009999999776482582,4260,95.66919326782227,0.0003,-216.29750061035156,,,
6.99,210.39806563000002,0.0,28,112,3160,440,0.0,0.93,0.009999999776482582,4318,74.56573104858398,0.0003,-213.17247772216797,,,
7.01,210.65352517,0.0,27,114,3194,444,0.0,0.93,0.009999999776482582,4386,102.62426376342773,0.0003,-218.0941925048828,,,
7.08,211.10987989999998,0.0,27,115,3231,448,0.0,0.93,0.009999999776482582,4460,66.35923194885254,0.0003,-215.6978759765625,,,
7.32,209.89688185,0.0,27,117,3281,452,0.0,0.92,0.009999999776482582,4560,77.28279113769531,0.0003,-219.11190032958984,,,
7.8,204.91475641,0.0,27,120,3361,456,0.0,0.89,0.009999999776482582,4720,66.88793182373047,0.0003,-224.66268157958984,,,
8.31,197.29887148,0.0,27,124,3441,460,0.0,0.85,0.009999999776482582,4880,52.052391052246094,0.0003,-229.48914337158203,,,
8.91,189.12531740999998,0.0,27,127,3521,464,0.0,0.81,0.009999999776482582,5040,53.23408317565918,0.0003,-229.10348510742188,,,
9.57,181.98034223000002,0.0,27,130,3601,468,0.0,0.77,0.009999999776482582,5200,59.846391677856445,0.0003,-232.76397705078125,,,
10.17,173.88622930000002,0.0,27,133,3681,472,0.0,0.73,0.009999999776482582,5360,44.74643135070801,0.0003,-232.8270263671875,,,
10.84,164.96390296,0.0,27,136,3761,476,0.0,0.69,0.009999999776482582,5520,42.57756996154785,0.0003,-237.33824157714844,,,
11.46,156.00128533999998,0.0,27,139,3841,480,0.0,0.65,0.009999999776482582,5680,46.60878944396973,0.0003,-243.06460571289062,,,
12.11,147.09959128,0.0,27,142,3921,484,0.0,0.61,0.009999999776482582,5840,80.12737655639648,0.0003,-242.55855560302734,,,
12.68,138.01881740000002,0.0,26,151,4001,488,0.0,0.57,0.009999999776482582,6000,66.369140625,0.0003,-248.80613708496094,0.0,20.0,-5.4361639517219995
