time/fps,time/total_timesteps,time/episodes,time/time_elapsed,rollout/success_rate,rollout/ep_rew_mean,rollout/ep_len_mean,train/ent_coef,train/ent_coef_loss,train/learning_rate,train/n_updates,train/critic_loss,train/actor_loss,eval/mean_reward,eval/mean_ep_length,eval/success_rate
47,11520,288,243,0.0,-24.26048635,40.0,0.04270448908209801,-21.13685417175293,0.0003,10519,0.01709260419011116,-1.9994524717330933,,,
46,11680,292,248,0.0,-24.16932199,40.0,0.04071518033742905,-21.36450958251953,0.0003,10679,0.020084666088223457,-1.6484549045562744,,,
46,11840,296,253,0.0,-24.26403721,40.0,0.03882002457976341,-21.480220794677734,0.0003,10839,0.021507596597075462,-1.2568705081939697,,,
46,12000,300,257,0.0,-24.238603859999994,40.0,0.03701309487223625,-21.656333923339844,0.0003,10999,0.021026045083999634,-0.5637170076370239,,,
46,12160,304,262,0.0,-24.281356910000003,40.0,0.035290952771902084,-21.82900047302246,0.0003,11159,0.019027307629585266,-0.1967836618423462,,,
46,12320,308,266,0.0,-24.48100742,40.0,0.03365067392587662,-22.469024658203125,0.0003,11319,0.02235485427081585,0.3310772180557251,,,
45,12480,312,271,0.0,-24.61504189,40.0,0.032085612416267395,-22.519899368286133,0.0003,11479,0.018485475331544876,0.37481173872947693,,,
,12500,,,,,,0.03189568966627121,-22.551809310913086,0.0003,11499,0.025766950100660324,0.4748982787132263,-23.751456,40.0,0.0
44,12640,316,281,0.0,-24.74060694,40.0,0.030594751238822937,-22.830896377563477,0.0003,11639,0.0181975606828928,1.2667733430862427,,,
44,12800,320,285,0.0,-24.768566740000004,40.0,0.029172932729125023,-23.1226749420166,0.0003,11799,0.016432177275419235,1.7143547534942627,,,
44,12960,324,289,0.0,-24.76333239000001,40.0,0.027816036716103554,-23.31922721862793,0.0003,11959,0.02085784450173378,2.092348575592041,,,
44,13120,328,293,0.0,-25.0667379,40.0,0.02652190998196602,-23.776092529296875,0.0003,12119,0.01805254817008972,2.3618557453155518,,,
