rollout/success_rate,time/episodes,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,train/ent_coef,train/n_updates,train/critic_loss,train/actor_loss,train/learning_rate,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.02,756,19.72,29,13851,474,70.31834034000002,0.009999999776482582,25700,43.50470161437988,-358.6675567626953,0.0003,,,
0.02,760,19.72,29,13931,477,69.90566981,0.009999999776482582,25860,84.50639343261719,-359.1975555419922,0.0003,,,
0.02,764,19.72,28,14011,485,71.84495183000001,0.009999999776482582,26020,34.036705017089844,-361.49659729003906,0.0003,73.04972172255711,0.0,20.0
0.02,768,19.72,28,14091,488,72.85665557,0.009999999776482582,26180,37.1547908782959,-361.1311798095703,0.0003,,,
0.02,772,19.72,28,14171,490,72.84191519000001,0.009999999776482582,26340,90.06061553955078,-361.3878479003906,0.0003,,,
0.02,776,19.72,28,14251,493,71.95706364000002,0.009999999776482582,26500,38.73621368408203,-363.6019592285156,0.0003,,,
0.02,780,19.72,28,14331,496,72.10014056,0.009999999776482582,26660,13.014423847198486,-361.6114501953125,0.0003,,,
0.02,784,19.72,28,14411,498,72.15547494,0.009999999776482582,26820,24.784325122833252,-364.83807373046875,0.0003,,,
0.02,788,19.72,28,14491,501,73.07516548,0.009999999776482582,26980,55.64536666870117,-366.3351745605469,0.0003,,,
0.02,792,19.72,28,14571,504,72.05230743,0.009999999776482582,27140,58.36397171020508,-364.39691162109375,0.0003,,,
0.02,796,19.72,28,14651,506,73.39220243,0.009999999776482582,27300,21.932722091674805,-366.46893310546875,0.0003,,,
0.02,800,19.72,28,14731,509,73.21487944,0.009999999776482582,27460,40.12735462188721,-369.1498718261719,0.0003,,,
0.02,804,19.72,28,14811,512,72.93901205,0.009999999776482582,27620,32.823970794677734,-368.0519256591797,0.0003,,,
0.02,808,19.72,28,14891,514,71.15397542,0.009999999776482582,27780,32.34056854248047,-367.2500305175781,0.0003,,,
0.02,812,19.72,28,14971,517,71.47852508,0.009999999776482582,27940,44.056389808654785,-370.2310485839844,0.0003,,,
0.02,816,19.72,28,15051,520,70.05138398999999,0.009999999776482582,28100,36.50764465332031,-366.2529296875,0.0003,,,
