curriculum/randomize_probability,time/fps,rollout/success_rate,curriculum/stage_index,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,time/episodes,time/total_timesteps,train/learning_rate,train/ent_coef,train/actor_loss,train/critic_loss,train/n_updates,eval/mean_ep_length,eval/success_rate,eval/mean_reward
0.0,31,0.0,0.0,20.0,182,20.65994956,576,5761,0.0003,0.009999999776482582,-280.08221435546875,103.22637939453125,9520,,,
0.0,31,0.0,0.0,20.0,184,20.80303548,580,5841,0.0003,0.009999999776482582,-279.9591979980469,124.4888916015625,9680,,,
0.0,31,0.0,0.0,20.0,187,21.010008289999995,584,5921,0.0003,0.009999999776482582,-281.25059509277344,86.91439819335938,9840,,,
0.0,30,0.0,0.0,20.0,194,21.404256930000003,588,6001,0.0003,0.009999999776482582,-283.0939178466797,108.18049621582031,10000,20.0,0.0,-3.3468749182369435
0.0,30,0.0,0.0,20.0,196,21.231800599999996,592,6081,0.0003,0.009999999776482582,-283.86631774902344,85.3483657836914,10160,,,
0.0,31,0.0,0.0,20.0,198,21.379452190000002,596,6161,0.0003,0.009999999776482582,-284.9506072998047,98.95069122314453,10320,,,
0.0,31,0.0,0.0,20.0,201,21.30625814,600,6241,0.0003,0.009999999776482582,-285.48406982421875,73.24413299560547,10480,,,
0.0,31,0.0,0.0,20.0,203,21.521255839999995,604,6321,0.0003,0.009999999776482582,-288.02711486816406,107.47077941894531,10640,,,
0.0,31,0.0,0.0,20.0,206,21.195610570000003,608,6401,0.0003,0.009999999776482582,-285.76580810546875,131.04217529296875,10800,,,
0.0,31,0.0,0.0,20.0,208,20.257853559999997,612,6481,0.0003,0.009999999776482582,-287.5548553466797,144.44813537597656,10960,,,
0.0,31,0.0,0.0,20.0,211,20.31484766,616,6561,0.0003,0.009999999776482582,-286.66705322265625,77.08638000488281,11120,,,
0.0,31,0.0,0.0,20.0,213,20.03585275,620,6641,0.0003,0.009999999776482582,-288.71348571777344,76.32654571533203,11280,,,
0.0,31,0.0,0.0,20.0,216,20.245234850000003,624,6721,0.0003,0.009999999776482582,-292.1547546386719,92.72236442565918,11440,,,
0.0,31,0.0,0.0,20.0,219,20.537318759999998,628,6801,0.0003,0.009999999776482582,-291.80474853515625,112.70201873779297,11600,,,
0.0,31,0.0,0.0,20.0,221,20.91688674,632,6881,0.0003,0.009999999776482582,-292.07066345214844,98.65970039367676,11760,,,
0.0,31,0.0,0.0,20.0,224,20.494276449999997,636,6961,0.0003,0.009999999776482582,-295.0317687988281,115.9200439453125,11920,,,
0.0,31,0.0,0.0,20.0,226,20.053048990000004,640,7041,0.0003,0.009999999776482582,-294.9324951171875,107.79558563232422,12080,,,
0.0,31,0.0,0.0,20.0,229,20.08154459,644,7121,0.0003,0.009999999776482582,-294.9547882080078,82.0206413269043,12240,,,
0.0,31,0.0,0.0,20.0,231,19.682247359999998,648,7201,0.0003,0.009999999776482582,-296.11456298828125,120.57243728637695,12400,,,
0.0,31,0.0,0.0,20.0,234,19.68526184,652,7281,0.0003,0.009999999776482582,-295.412841796875,105.2645034790039,12560,,,
0.0,31,0.0,0.0,20.0,237,19.72213022,656,7361,0.0003,0.009999999776482582,-296.2146759033203,124.30489349365234,12720,,,
0.0,31,0.0,0.0,20.0,239,19.27310406,660,7441,0.0003,0.009999999776482582,-296.08094787597656,119.08712005615234,12880,,,
0.0,31,0.0,0.0,20.0,242,19.695420749999997,664,7521,0.0003,0.009999999776482582,-297.71311950683594,124.71602630615234,13040,,,
0.0,31,0.0,0.0,20.0,244,19.15936063,668,7601,0.0003,0.009999999776482582,-300.82757568359375,128.67734146118164,13200,,,
0.0,31,0.0,0.0,20.0,247,20.10621177,672,7681,0.0003,0.009999999776482582,-299.25938415527344,120.75617599487305,13360,,,
0.0,30,0.0,0.0,20.0,250,21.68525564,676,7761,0.0003,0.009999999776482582,-301.0518493652344,102.81965255737305,13520,,,
0.0,30,0.0,0.0,20.0,253,23.301291760000005,680,7841,0.0003,0.009999999776482582,-302.9135284423828,120.03224182128906,13680,,,
0.0,30,0.0,0.0,20.0,256,24.4115345,684,7921,0.0003,0.009999999776482582,-304.40484619140625,167.43035888671875,13840,,,
0.0,30,0.0,0.0,20.0,264,25.820676439999996,688,8001,0.0003,0.009999999776482582,-305.81640625,105.80135917663574,14000,20.0,0.0,11.087315734010811
0.0,30,0.0,0.0,20.0,266,27.01282661,692,8081,0.0003,0.009999999776482582,-307.5297546386719,88.45552444458008,14160,,,
0.0,30,0.0,0.0,20.0,269,28.38220973,696,8161,0.0003,0.009999999776482582,-311.35569763183594,104.57379150390625,14320,,,
0.0,30,0.0,0.0,20.0,272,29.986024290000003,700,8241,0.0003,0.009999999776482582,-309.2020721435547,112.42171478271484,14480,,,
0.0,30,0.0,0.0,20.0,274,31.550730380000005,704,8321,0.0003,0.009999999776482582,-310.08705139160156,113.6082878112793,14640,,,
0.0,30,0.0,0.0,20.0,277,33.212985550000006,708,8401,0.0003,0.009999999776482582,-313.6101837158203,94.46118927001953,14800,,,
0.0,30,0.0,0.0,20.0,280,34.560444200000006,712,8481,0.0003,0.009999999776482582,-315.20689392089844,120.33663940429688,14960,,,
0.0,30,0.0,0.0,20.0,282,34.01103231,716,8561,0.0003,0.009999999776482582,-315.3498992919922,147.5473861694336,15120,,,
0.0,30,0.0,0.0,20.0,285,34.33139369,720,8641,0.0003,0.009999999776482582,-315.46702575683594,184.8448486328125,15280,,,
0.0,30,0.0,0.0,20.0,288,34.622877450000004,724,8721,0.0003,0.009999999776482582,-318.6288146972656,137.48207092285156,15440,,,
0.0,30,0.0,0.0,20.0,291,34.93652173,728,8801,0.0003,0.009999999776482582,-319.45506286621094,155.42791748046875,15600,,,
0.0,30,0.0,0.0,20.0,294,35.007594059999995,732,8881,0.0003,0.009999999776482582,-320.39015197753906,184.00233459472656,15760,,,
0.0,30,0.0,0.0,20.0,297,35.38586785,736,8961,0.0003,0.009999999776482582,-323.59828186035156,115.07125473022461,15920,,,
0.0,30,0.0,0.0,20.0,299,35.333891109999996,740,9041,0.0003,0.009999999776482582,-324.05499267578125,122.52544784545898,16080,,,
