rollout/success_rate,rollout/ep_rew_mean,time/total_timesteps,time/time_elapsed,time/fps,rollout/ep_len_mean,time/episodes,train/actor_loss,train/critic_loss,train/ent_coef,train/learning_rate,train/n_updates,eval/mean_reward,eval/success_rate,eval/mean_ep_length
0.0,-4.071697889999999,1929,32,59,6.21,336,1.734132170677185,7.717830181121826,0.009999999776482582,0.0003,928,,,
0.0,-4.27707851,1957,32,59,6.33,340,2.08811092376709,7.8358259201049805,0.009999999776482582,0.0003,956,,,
0.0,-3.7508731999999996,1985,33,59,6.45,344,1.729449987411499,11.403762817382812,0.009999999776482582,0.0003,984,,,
0.0,-3.49495947,2015,35,55,6.59,348,1.3851200342178345,7.2645463943481445,0.009999999776482582,0.0003,1014,-5.56005658655981,0.0,7.85
0.0,-3.54786228,2043,36,55,6.71,352,2.0321123600006104,10.07381820678711,0.009999999776482582,0.0003,1042,,,
0.0,-3.3725157,2083,37,55,6.95,356,2.241856336593628,10.390951156616211,0.009999999776482582,0.0003,1082,,,
0.0,-3.5481979199999993,2123,37,55,7.19,360,2.517228364944458,7.4737548828125,0.009999999776482582,0.0003,1122,,,
0.0,-3.39169599,2152,38,55,7.2,364,1.4755756855010986,9.288236618041992,0.009999999776482582,0.0003,1151,,,
0.0,-3.30286655,2176,39,55,7.28,368,2.9550418853759766,10.464688301086426,0.009999999776482582,0.0003,1175,,,
0.0,-3.1382844800000003,2192,39,55,7.28,372,1.721648931503296,7.8943634033203125,0.009999999776482582,0.0003,1191,,,
0.0,-2.9600254200000005,2232,40,55,7.52,376,1.471630334854126,11.824116706848145,0.009999999776482582,0.0003,1231,,,
0.0,-3.0395257899999994,2260,40,55,7.64,380,2.800809860229492,9.73281192779541,0.009999999776482582,0.0003,1259,,,
0.0,-2.8253620399999995,2300,41,55,7.76,384,1.4105082750320435,8.733665466308594,0.009999999776482582,0.0003,1299,,,
